123.49 179.641 119.702
106.103 184.3 119.702
106.103 184.3 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
110.762 166.913 119.702
110.762 166.913 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
128.149 162.254 119.702
128.149 162.254 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
140.877 174.982 119.702
140.877 174.982 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
136.218 192.369 119.702
136.218 192.369 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
118.831 197.028 119.702
118.831 197.028 99.7021
123.49 179.641 99.7021
#

123.49 179.641 119.702
106.103 184.3 119.702
106.103 184.3 99.7021
123.49 179.641 99.7021
#

