59.7021 -20 119.702
68.7021 -35.5885 119.702
68.7021 -35.5885 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
77.7021 -20 119.702
77.7021 -20 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
68.7021 -4.4115 119.702
68.7021 -4.4115 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
50.7021 -4.41154 119.702
50.7021 -4.41154 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
41.702 -20 119.702
41.702 -20 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
50.702 -35.5885 119.702
50.702 -35.5885 99.7021
59.7021 -20 99.7021
#

59.7021 -20 119.702
68.7021 -35.5885 119.702
68.7021 -35.5885 99.7021
59.7021 -20 99.7021
#

